"","ThetaS","ThetaAvb","PhiMicro","PhiMeso","PhiMacro","Ds","S0","Ks","Clay","Silt","Sand","CSC","MSC","FSC","idS"
"nobs",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"NAs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minimum",0.33,0.058,52.34,4.2,4.41,1.15,0.1584,0.0011,0.0604,0.1876,0.2319,0.0242,0.0034,0.027,0.0119
"Maximum",0.54,0.193,90.07,13.35,36.57,1.57,1.1295,0.0168,0.4187,0.4361,0.752,0.4713,0.1482,0.5553,0.0365
"1. Quartile",0.395,0.107,65.6,6.9875,12.3425,1.3325,0.272725,0.00285,0.142925,0.3048,0.376275,0.184125,0.01285,0.09655,0.0211
"3. Quartile",0.4975,0.131,79.855,10.0675,23.895,1.45,0.4236,0.007325,0.2645,0.4004,0.5017,0.28705,0.02495,0.22715,0.025425
"Mean",0.444333,0.121467,73.158,8.545667,18.296333,1.396333,0.38269,0.005823,0.20048,0.342437,0.457083,0.234707,0.028153,0.194227,0.023543
"Median",0.46,0.1205,72.52,8.245,18.995,1.4,0.3122,0.00475,0.2011,0.34825,0.4308,0.2422,0.01605,0.15025,0.0235
"Sum",13.33,3.644,2194.74,256.37,548.89,41.89,11.4807,0.1747,6.0144,10.2731,13.7125,7.0412,0.8446,5.8268,0.7063
"SE Mean",0.011128,0.004666,1.853397,0.416679,1.495214,0.017917,0.037655,0.000755,0.016698,0.01261,0.022279,0.018254,0.005882,0.025612,0.001008
"LCL Mean",0.421574,0.111925,69.367377,7.693462,15.238277,1.359688,0.305677,0.004279,0.166329,0.316646,0.411517,0.197373,0.016123,0.141844,0.021482
"UCL Mean",0.467093,0.131009,76.948623,9.397871,21.35439,1.432978,0.459703,0.007368,0.234631,0.368227,0.502649,0.272041,0.040184,0.246609,0.025605
"Variance",0.003715,0.000653,103.052437,5.208646,67.069983,0.009631,0.042536,1.7e-05,0.008365,0.00477,0.014891,0.009996,0.001038,0.019679,3e-05
"Stdev",0.060951,0.025554,10.151475,2.282246,8.189627,0.098137,0.206244,0.004137,0.091459,0.069068,0.122028,0.099982,0.032219,0.140283,0.00552
"Skewness",-0.438681,0.355601,-0.076571,0.255755,0.079817,-0.306309,1.977918,1.178145,0.291026,-0.479221,0.684447,0.046473,2.226324,1.183863,0.255723
"Kurtosis",-1.175738,1.129893,-0.956455,-0.671038,-0.793931,-0.192862,4.119232,0.524683,-0.5504,-0.853556,0.013205,-0.216038,4.568039,0.479771,0.325455
"PV-KS",0.6007,0.7701,0.9952,0.9606,0.9993,0.9698,0.166,0.4271,0.9313,0.6587,0.5317,0.8862,0.0038,0.2322,0.5225
